architecture,model_type,variation_name,layers,hidden_state,final_loss,final_val_loss,history_loss,history_val_loss,training_time_sec
context_v2,SimpleRNN,Shallow_Small,1,128,1.2617284059524536,1.2684069871902466,"[2.2289087772369385, 1.61797297000885, 1.4685033559799194, 1.3470373153686523, 1.2617284059524536]","[1.7046515941619873, 1.5408601760864258, 1.410825490951538, 1.324250340461731, 1.2684069871902466]",40.75758936200009
context_v2,SimpleRNN,Deep_Small,2,128,1.3982609510421753,1.375734806060791,"[2.205677032470703, 1.7188163995742798, 1.59901762008667, 1.5004640817642212, 1.3982609510421753]","[1.7941322326660156, 1.6484562158584595, 1.557974100112915, 1.4580185413360596, 1.375734806060791]",55.419982606000076
context_v2,SimpleRNN,VeryDeep_Small,3,128,1.5586215257644653,1.5250526666641235,"[2.164238691329956, 1.7810994386672974, 1.7080938816070557, 1.6451834440231323, 1.5586215257644653]","[1.829729437828064, 1.7384788990020752, 1.6836191415786743, 1.6136983633041382, 1.5250526666641235]",71.01569397900005
context_v2,SimpleRNN,Shallow_Mid,1,256,1.130091905593872,1.176056981086731,"[2.048898220062256, 1.4802669286727905, 1.3109239339828491, 1.206431269645691, 1.130091905593872]","[1.5923075675964355, 1.3875510692596436, 1.277828335762024, 1.2176249027252197, 1.176056981086731]",50.750682469000026
context_v2,SimpleRNN,Shallow_Large,1,512,1.043031930923462,1.1360838413238525,"[1.9212158918380737, 1.3806922435760498, 1.2248646020889282, 1.1235593557357788, 1.043031930923462]","[1.4896445274353027, 1.302966594696045, 1.2178932428359985, 1.167320728302002, 1.1360838413238525]",77.25062850699999
context_v2,SimpleRNN,Deep_Large,2,512,1.1368482112884521,1.1862648725509644,"[1.9267032146453857, 1.4557934999465942, 1.3040010929107666, 1.2075536251068115, 1.1368482112884521]","[1.5631331205368042, 1.374809980392456, 1.2774579524993896, 1.2256008386611938, 1.1862648725509644]",94.95358655299992
context_v2,LSTM,Shallow_Small,1,128,1.3948163986206055,1.368943691253662,"[2.2594478130340576, 1.7588179111480713, 1.6306833028793335, 1.505051851272583, 1.3948163986206055]","[1.8174800872802734, 1.6996078491210938, 1.5669158697128296, 1.4594473838806152, 1.368943691253662]",31.08573183900012
context_v2,LSTM,Deep_Small,2,128,1.776283621788025,1.7238996028900146,"[2.18827223777771, 1.8910630941390991, 1.8886423110961914, 1.876691460609436, 1.776283621788025]","[1.8893458843231201, 1.890869140625, 1.88896644115448, 1.846284031867981, 1.7238996028900146]",32.88472628699992
context_v2,LSTM,VeryDeep_Small,3,128,1.8453069925308228,1.8436273336410522,"[2.1968307495117188, 1.8794268369674683, 1.8688627481460571, 1.8578987121582031, 1.8453069925308228]","[1.8833913803100586, 1.8742105960845947, 1.86515212059021, 1.8568956851959229, 1.8436273336410522]",35.64866981099999
context_v2,LSTM,Shallow_Mid,1,256,1.22946298122406,1.2349005937576294,"[2.103367567062378, 1.6474950313568115, 1.452203631401062, 1.3206640481948853, 1.22946298122406]","[1.7465951442718506, 1.542701005935669, 1.3880372047424316, 1.2971469163894653, 1.2349005937576294]",44.73553621399992
context_v2,LSTM,Shallow_Large,1,512,1.113326072692871,1.1596484184265137,"[1.9774106740951538, 1.4765783548355103, 1.2892065048217773, 1.1884726285934448, 1.113326072692871]","[1.6195884943008423, 1.361901044845581, 1.2602688074111938, 1.2020611763000488, 1.1596484184265137]",82.59198622600002
context_v2,LSTM,Deep_Large,2,512,1.3461459875106812,1.346431851387024,"[2.0110177993774414, 1.6647387742996216, 1.4920395612716675, 1.4123927354812622, 1.3461459875106812]","[1.7654707431793213, 1.5510661602020264, 1.4625862836837769, 1.401097059249878, 1.346431851387024]",97.17424280199998
