model_type,variation_name,layers,hidden_state,final_loss,final_val_loss,history_loss,history_val_loss,training_time_sec
SimpleRNN,Shallow_Small,1,128,1.420391321182251,1.382081389427185,"[3.782275915145874, 1.9153443574905396, 1.6830030679702759, 1.5291327238082886, 1.420391321182251]","[2.205862283706665, 1.7769252061843872, 1.5930505990982056, 1.4717998504638672, 1.382081389427185]",981.6338727474213
SimpleRNN,Deep_Small,2,128,1.4051457643508911,1.3797718286514282,"[3.661322832107544, 1.9554952383041382, 1.6691948175430298, 1.4988696575164795, 1.4051457643508911]","[2.255734443664551, 1.7679988145828247, 1.5552765130996704, 1.4472754001617432, 1.3797718286514282]",1149.6914386749268
SimpleRNN,VeryDeep_Small,3,128,1.4069491624832153,1.3751046657562256,"[3.6158759593963623, 2.318708896636963, 1.7801945209503174, 1.5346347093582153, 1.4069491624832153]","[2.433075428009033, 1.9566608667373657, 1.6460767984390259, 1.4642248153686523, 1.3751046657562256]",810.9641647338867
SimpleRNN,Shallow_Mid,1,256,1.3427788019180298,1.3423073291778564,"[2.985424518585205, 1.7155663967132568, 1.5187995433807373, 1.4079186916351318, 1.3427788019180298]","[1.88996160030365, 1.6116361618041992, 1.4618215560913086, 1.3779597282409668, 1.3423073291778564]",1008.5954577922821
SimpleRNN,Shallow_Large,1,512,1.3006304502487183,1.2963720560073853,"[2.561295986175537, 1.6859759092330933, 1.5091193914413452, 1.3778523206710815, 1.3006304502487183]","[1.8170992136001587, 1.6158361434936523, 1.4408643245697021, 1.3472751379013062, 1.2963720560073853]",1482.8240072727203
SimpleRNN,Deep_Large,2,512,1.3552299737930298,1.3701226711273193,"[2.5349655151367188, 1.7208861112594604, 1.5271881818771362, 1.4120057821273804, 1.3552299737930298]","[2.0404891967773438, 1.589556097984314, 1.4570708274841309, 1.4045672416687012, 1.3701226711273193]",1668.012844324112
LSTM,Shallow_Small,1,128,1.6022617816925049,1.555026888847351,"[3.847945213317871, 2.2261173725128174, 1.9145373106002808, 1.7194786071777344, 1.6022617816925049]","[2.3151042461395264, 2.1037118434906006, 1.7935398817062378, 1.6626633405685425, 1.555026888847351]",723.8414809703827
LSTM,Deep_Small,2,128,1.7370476722717285,1.7192440032958984,"[3.6922245025634766, 2.2739334106445312, 2.134155035018921, 1.8696575164794922, 1.7370476722717285]","[2.376556396484375, 2.1912245750427246, 2.033994674682617, 1.773937702178955, 1.7192440032958984]",835.5074737071991
LSTM,VeryDeep_Small,3,128,1.8018308877944946,1.7441368103027344,"[3.7215375900268555, 2.282794952392578, 2.177212715148926, 2.0605807304382324, 1.8018308877944946]","[2.3670222759246826, 2.2241458892822266, 2.1544742584228516, 1.9226385354995728, 1.7441368103027344]",1199.8045058250427
LSTM,Shallow_Mid,1,256,1.4848488569259644,1.460932970046997,"[3.166982889175415, 2.104187488555908, 1.8191391229629517, 1.625372290611267, 1.4848488569259644]","[2.214986801147461, 1.959733247756958, 1.7097508907318115, 1.5562622547149658, 1.460932970046997]",1344.51837849617
LSTM,Shallow_Large,1,512,1.446679949760437,1.4335565567016602,"[2.730130434036255, 1.923842430114746, 1.674063801765442, 1.5381150245666504, 1.446679949760437]","[2.156492233276367, 1.7435975074768066, 1.6119180917739868, 1.4935665130615234, 1.4335565567016602]",2823.215855360031
LSTM,Deep_Large,2,512,1.5752367973327637,1.5461889505386353,"[2.682959794998169, 2.138824224472046, 1.8348748683929443, 1.6661944389343262, 1.5752367973327637]","[2.1907596588134766, 2.0566213130950928, 1.7069904804229736, 1.6326842308044434, 1.5461889505386353]",4411.692248344421
